Calendar Year,System Type,Inter/Intra,Commodity,Total Miles,Total Breakout Tanks,Operator Count,Operator Count, VALUEOF(PORTAL_DATE),HL Total Pipe Miles,Miles of Gathering
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,424,3,1,31574,2017-03-07 04:06:52,424,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1077.384,0,1,31618,2017-03-07 04:06:52,1077.384,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,103.46,0,1,31666,2017-03-07 04:06:52,103.46,32.62
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1986.65,46,1,31684,2017-03-07 04:06:52,1986.65,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1451,37,1,31720,2017-03-07 04:06:52,1451,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,106,5,1,31822,2017-03-07 04:06:52,106,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,82.91,0,1,31864,2017-03-07 04:06:52,82.91,82.91
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,294,4,1,31878,2017-03-07 04:06:52,294,24
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1135.1,22,1,31888,2017-03-07 04:06:52,1135.1,0.3
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,468,95,1,31947,2017-03-07 04:06:52,468,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,,4,1,31948,2017-03-07 04:06:52,,
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,454,8,1,31957,2017-03-07 04:06:52,454,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,88,3,1,32011,2017-03-07 04:06:52,88,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,586,0,1,32080,2017-03-07 04:06:52,586,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,56.12,0,1,32083,2017-03-07 04:06:52,56.12,56.56
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,377,0,1,32091,2017-03-07 04:06:52,377,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1403.7,79,1,32147,2017-03-07 04:06:52,1403.7,81.2
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,17.63,1,1,32224,2017-03-07 04:06:52,17.63,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,527,0,1,32288,2017-03-07 04:06:52,527,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,2.44,0,1,32331,2017-03-07 04:06:52,2.44,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1085,0,1,32334,2017-03-07 04:06:52,1085,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,1,0,1,32365,2017-03-07 04:06:52,1,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,,,1,32411,2017-03-07 04:06:52,,
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,69,0,1,32450,2017-03-07 04:06:52,69,0
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,27,1,1,32483,2017-03-07 04:06:52,27,
2010,HAZARDOUS LIQUID,INTERSTATE,CRUDE OIL,0.37,0,1,39038,2017-03-07 04:06:52,0.37,
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,13.587,0,1,1845,2017-03-07 04:06:52,13.587,
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,248,0,1,2162,2017-03-07 04:06:52,248,248
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,6.642,0,1,2564,2017-03-07 04:06:52,6.642,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,76.23,0,1,2714,2017-03-07 04:06:52,76.23,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,2676.54,0,1,2731,2017-03-07 04:06:52,2676.54,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,1306.066,0,1,3445,2017-03-07 04:06:52,1306.066,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,135.7,0,1,3466,2017-03-07 04:06:52,135.7,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,104.34,0,1,4472,2017-03-07 04:06:52,104.34,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,2006.4,3,1,10012,2017-03-07 04:06:52,2006.4,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,39,0,1,11032,2017-03-07 04:06:52,39,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,324,2,1,11169,2017-03-07 04:06:52,324,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,1090,1,1,12105,2017-03-07 04:06:52,1090,
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,56,0,1,12628,2017-03-07 04:06:52,56,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,206,0,1,18718,2017-03-07 04:06:52,206,0
